CODIGO_MESA,DESCRIPCION,CODIGO_PAIS,NOMBRE_PAIS,CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_PROVINCIA,NOMBRE_PROVINCIA,CODIGO_SECCION,NOMBRE_MUNICIPIO,CODIGO_LOCALIDAD,NOMBRE_LOCALIDAD,CODIGO_RECINTO,NOMBRE_RECINTO,NUMERO_MESA,INSCRITOS_HABILITADOS,S.A.M.,APU,BST,C-A,FPV,FIC,INCA-FS,TCA,L.E.A.L,MAS-IPSP,MRP,MTS,PP,PAN-BOL,PDC,SUMA,UCS,UNICO,UN SOL PARA ORURO,VOTO_VALIDO,VOTO_BLANCO,VOTO_NULO,VOTO_EMITIDO,VOTO_VALIDO_SISTEMA,VOTO_EMITIDO_SISTEMA
4003612,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31010,Coliseo Cerrado Palacio de los Deportes (Temporal),5,220,0,0,25,5,2,0,0,0,0,74,0,5,19,6,1,0,3,3,31,174,15,6,195,174,195
4003632,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31010,Coliseo Cerrado Palacio de los Deportes (Temporal),7,220,0,0,21,9,1,0,0,0,0,71,0,2,7,5,4,0,2,4,30,156,16,12,184,156,184
4003642,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31010,Coliseo Cerrado Palacio de los Deportes (Temporal),8,220,0,0,21,4,4,0,0,0,0,65,0,5,11,4,2,0,0,3,44,163,17,12,192,163,192
4003652,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31010,Coliseo Cerrado Palacio de los Deportes (Temporal),9,220,0,0,17,1,0,0,0,0,0,73,0,3,11,7,1,0,1,7,48,169,15,12,196,169,196
4003732,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31010,Coliseo Cerrado Palacio de los Deportes (Temporal),17,220,0,0,14,5,1,0,0,0,0,70,0,7,17,7,6,0,1,3,37,168,16,8,192,168,192
4003772,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,31010,Coliseo Cerrado Palacio de los Deportes (Temporal),21,220,0,0,22,5,3,0,0,0,0,60,0,4,16,4,1,0,4,4,43,166,17,8,191,166,191
4003832,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25033,Col. Particular Bolivia Japon,5,220,0,0,39,8,3,0,0,0,0,38,0,4,26,8,3,0,4,6,42,181,5,9,195,181,195
4003842,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25033,Col. Particular Bolivia Japon,6,220,0,0,36,7,9,0,0,0,0,41,0,1,19,2,4,0,2,11,41,173,12,11,196,173,196
4003852,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25033,Col. Particular Bolivia Japon,7,220,0,0,41,8,7,0,0,0,0,39,0,3,17,3,3,0,2,5,38,166,17,15,198,166,198
4003862,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,25033,Col. Particular Bolivia Japon,8,188,0,0,29,5,3,0,0,0,0,41,0,0,16,3,0,0,8,5,38,148,10,7,165,148,165
4004552,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,6,220,0,0,39,6,3,0,0,0,0,30,0,5,18,4,4,0,1,5,55,170,13,8,191,170,191
4004562,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,7,220,0,0,24,12,3,0,0,0,0,54,0,2,10,4,5,0,0,7,40,161,13,16,190,161,190
4004572,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,8,220,0,0,30,5,2,0,0,0,0,56,0,1,16,6,4,0,4,5,34,163,14,14,191,163,191
4004582,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,9,220,0,0,38,6,4,0,0,0,0,53,0,5,15,3,4,0,4,3,34,169,20,6,195,169,195
4004592,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,10,220,0,0,41,4,4,0,0,0,0,44,0,1,8,7,4,0,4,8,51,176,6,8,190,176,190
4004662,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,1,220,0,0,46,5,2,0,0,0,0,36,0,1,21,5,1,0,4,7,45,173,11,17,201,173,201
4004682,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,3,170,0,0,27,8,4,0,0,0,0,37,0,0,13,2,3,0,0,8,36,138,7,7,152,138,152
4004692,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,1,220,0,0,35,5,7,0,0,0,0,38,0,3,26,5,3,0,2,5,40,169,15,12,196,169,196
4004712,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,3,220,0,0,28,9,1,0,0,0,0,53,0,6,20,4,4,0,4,5,41,175,11,12,198,175,198
4004732,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,5,220,0,0,23,6,4,0,0,0,0,58,0,2,12,2,3,0,3,6,45,164,8,18,190,164,190
4004852,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,6,220,0,0,32,6,3,0,0,0,0,60,0,4,3,2,0,0,1,11,42,164,11,14,189,164,189
4004862,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,7,220,0,0,29,4,7,0,0,0,0,45,0,6,14,1,7,0,3,6,39,161,15,14,190,161,190
4004892,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,10,220,0,0,24,5,4,0,0,0,0,60,0,1,17,2,4,0,4,2,41,164,11,5,180,164,180
4005152,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,1,97,0,0,15,6,2,0,0,0,0,26,0,0,2,1,0,0,1,1,22,76,4,5,85,76,85
4005572,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,139,U. E. Santa Rosa,1,220,0,0,19,4,3,0,0,0,0,71,0,0,5,5,8,0,1,5,34,155,21,14,190,155,190
4005582,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,139,U. E. Santa Rosa,2,220,0,0,29,10,6,0,0,0,0,51,0,6,14,0,10,0,1,5,26,158,9,11,178,158,178
4005592,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,139,U. E. Santa Rosa,3,220,0,0,26,5,4,0,0,0,0,70,0,1,15,3,3,0,2,4,22,155,16,19,190,155,190
4005612,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,139,U. E. Santa Rosa,5,220,0,0,26,5,4,0,0,0,0,68,0,1,13,3,4,0,1,3,35,163,8,13,184,163,184
4005642,GOBERNADOR(A),32,Bolivia,4,Oruro,1,Cercado,1,Oruro,2059,Oruro,139,U. E. Santa Rosa,8,220,0,0,39,6,2,0,0,0,0,59,0,1,16,3,2,0,0,8,25,161,14,12,187,161,187
